"alter";"geschlecht";"bundesland";"einkommen"
52;1;1;3400
51;2;1;800
33;2;1;1200
37;1;1;1200
40;2;1;75
39;1;1;1600
67;1;1;1200
69;2;1;1200
85;1;1;600
70;1;1;1000
41;2;1;1000
38;2;1;1000
40;1;1;1600
39;2;1;800
72;1;1;1000
89;1;1;2450
64;1;1;1400
64;2;1;75
79;2;1;1600
38;1;1;1600
35;2;1;600
72;1;1;600
59;1;1;3050
59;2;1;600
53;1;1;1000
49;2;1;1000
48;1;1;1200
21;1;1;600
46;2;1;1850
57;2;1;2750
90;2;1;1600
59;1;1;1600
24;2;1;1400
71;2;1;400
62;1;1;1200
34;1;1;1400
49;1;1;2450
47;2;1;1200
42;1;1;1850
36;2;1;400
77;2;1;1000
29;1;1;1400
28;2;1;600
58;1;1;1400
57;2;1;1200
71;1;1;1200
70;2;1;600
45;2;1;600
57;1;1;3050
87;2;1;1000
29;2;1;1400
64;1;1;1400
64;2;1;600
62;1;1;1400
69;1;1;1850
50;2;1;1850
54;1;1;3800
65;1;1;3050
63;2;1;400
50;2;1;1850
25;2;1;1600
39;1;1;1850
91;2;1;1600
25;1;1;800
24;2;1;600
39;1;1;1850
34;2;1;600
71;2;1;1000
73;1;1;1200
78;2;1;800
59;2;1;1200
73;1;1;800
71;2;1;400
30;1;1;1200
69;2;1;2150
51;2;1;1600
17;2;1;400
69;2;1;1000
42;1;1;3800
74;1;1;600
62;2;1;400
65;2;1;1850
58;1;1;1000
68;2;1;1000
71;1;1;1000
64;2;1;1200
78;2;1;800
39;1;1;2750
32;2;1;800
48;1;1;1000
65;1;1;1200
60;2;1;800
46;2;1;400
43;1;1;1600
21;2;1;600
17;1;1;225
36;1;1;1200
54;1;1;600
56;2;1;800
71;2;1;1850
39;2;1;2150
37;1;1;1850
17;1;1;75
77;1;1;800
73;2;1;225
65;2;1;1400
70;1;1;2150
65;2;1;600
34;2;1;75
60;2;1;3050
61;1;1;3050
52;1;1;1600
49;2;1;2150
72;2;1;1000
76;1;1;1600
66;1;1;800
63;2;1;1000
69;1;1;1600
47;1;1;225
21;1;1;1200
46;1;1;1000
60;1;1;1400
58;2;1;1200
54;1;1;2450
51;2;1;225
44;2;1;1850
8;1;1;225
53;2;1;800
65;1;1;1850
64;2;1;1850
41;2;1;225
41;2;1;600
17;1;1;225
11;1;1;225
82;1;1;800
80;2;1;800
52;1;1;1200
45;2;1;800
51;2;1;1400
18;1;1;400
42;1;1;1850
41;2;1;2150
71;1;1;2450
21;1;1;400
59;1;1;1400
50;2;1;400
41;1;1;1600
44;2;1;1000
62;2;1;800
31;2;1;1400
34;1;1;1400
59;1;1;2750
46;2;1;2450
45;1;1;3400
46;2;1;400
58;2;1;2150
63;1;1;2450
58;2;1;800
53;1;1;2750
81;2;1;600
28;2;1;800
48;1;1;2750
36;1;1;1400
26;1;1;400
28;2;1;400
52;1;1;800
66;1;1;1400
63;2;1;1000
53;1;1;3050
46;2;1;600
51;1;1;1400
48;2;1;800
58;1;1;5350
69;1;1;1200
65;2;1;800
63;1;1;2150
46;2;1;800
41;1;1;400
20;2;1;225
14;1;1;225
18;2;1;800
68;2;1;800
54;1;1;1850
56;2;1;800
55;1;1;5750
43;2;1;400
69;1;1;1600
78;2;1;600
31;2;1;1400
46;1;1;4250
42;2;1;1400
68;2;1;2150
43;2;1;1000
49;1;1;1850
45;2;1;2450
43;1;1;800
77;2;1;600
71;2;1;2150
55;1;1;1850
41;1;1;2150
74;1;1;800
30;1;1;1200
65;1;1;1600
20;2;1;600
32;1;1;1200
29;2;1;600
41;1;1;3400
36;2;1;1600
37;1;1;1600
30;2;1;1200
34;1;1;1400
52;1;1;3800
50;2;1;400
23;1;1;400
20;1;1;400
62;1;1;1000
83;1;1;1000
71;2;1;1000
